﻿#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
EIC;东印度公司;;;;;;;;;;;;x
EIC_ADJ;东印度公司的;;;;;;;;;;;;x
UTI;领土交换区;;;;;;;;;;;;x
EVTDESC9990001;我们最近占领的领土已完全纳入我们的行政管理。;;;;;;;;;;;;x
EVTDESC9990002;不幸的叛乱使我们的政府在议会的脑海中留下了阴霾，最近通过一项法案清算公司，他们现在寻求将我们所有的财产收归皇室。;;;;;;;;;;;;x
EVTDESC9990003;由傻瓜经营的东印度公司一直拒绝改变其经营方式，为了普通印度人的利益，我们必须用武力将它们移除。;;;;;;;;;;;;x
EVTDESC9990004;印度兵变之后，在印度政府$YEAR$年法案的监督下，英国政府将公司国有化，因此王室接管了其印度领土，行政权力和机构以及武装部队。\n\n它完成了在人类的整个历史中没有其他贸易公司曾经尝试过的工作，当然未来也基本上不会有。\n\n——时代变了;;;;;;;;;;;;x
EVTDESC9990005;英国军队已被打败，我们现在可以自由地与印度合作，我们的股东已经转移到加尔各答，我们所有的事务都是我们自己的。除了澳大利亚和新西兰之外，我们的部队占领了亚洲的所有英国领土，所有土邦都将被迫接受我们的宗主权。\n\n前总督詹姆斯·安德鲁·布朗——拉姆齐，达尔豪西伯爵，今后将被加冕为皇帝拉姆齐，东印度帝国的尊贵皇帝。这是辉煌的一天！;;;;;;;;;;;;x
EVTDESC9990007;最近在加尔各答发生的事件破坏了东印度公司在贸易问题上对王室的忠诚，英国对印度货物的垄断处于危险之中，必须采取迅速行动来修补这一点。;;;;;;;;;;;;x
EVTDESC9990008;议会对我们最近的政策变化感到不满，他们现在试图破坏我们的权利并清算公司，显然现在是时候重新评估我们的忠诚度了。;;;;;;;;;;;;x
EVTDESC9990009;一艘船今天抵达加尔各答，带着一些英国人的聪明才智，我们必须立即投入使用。;;;;;;;;;;;;x
government_of_india_act;印度政府法案;;;;;;;;;;;;x
government_of_india_act_title;$YEAR$年印度政府法案;;;;;;;;;;;;x
government_of_india_act_desc;最近印度的叛乱暴露了公司治理的结构性弱点和效率低下，为了印度人和帝国的利益，我们必须清算东印度公司并将其持有的股权置于公司统治之下。\n\n我们通过同样的义务约束印度领土的原住民，这使我们与所有其他臣民联系在一起。;;;;;;;;;;;;x
mughal_declaration_eic_title;对英国佬圣战！！！;;;;;;;;;;;;x
mughal_declaration_eic_desc;目前英属印度危机四伏，动乱不断冲击着前莫卧儿帝国的领土。有一些穆斯林的领袖高呼“圣战”，因为在这些地区绝大多数人民信奉伊斯兰教，这让英国人认为穆斯林是这场动乱的主要幕后力量。莫卧儿帝国的皇帝巴哈杜尔·沙却抵制了这次圣战，因为皇帝陛下害怕圣战会引起公共暴力。然而只有通过圣战将英国人驱逐出德里，才能摆脱英国人的影响和统治，这样才能让我们的陛下得到他应有的头衔————印度的皇帝。;;;;;;;;;;;;x
